sentence,verb lemma,w0,interpretation,object,qualia,,,,,,,,,,
"Siverts startet på en kokebok om norske råvarer i fjor, en bok som ble fullført etter hennes død.",starte,på,write,book,agentive,,,,,,,,,,
* Thomas Stanley starter på ''History of Philosophy'' .,starte,på,write,book,agentive,,,,,,,,,,
Deltidsstudenter starter på emnet i tredje semester.,starte,på,attend,course,telic,,,,,,,,,,
Norge startet nemlig på et nytt språkprosjekt ; samnorsk.,starte,på,project,project,agentive_project,,,,,,,,,,
Personene startet på et tiltak mellom 1996 og 2005 og er fulgt frem til 2010.,starte,på,attend,program,telic,,,,,,,,,,
"Nicks startet på sitt tredje soloalbum, opprinnelig med tittelen ' 'Mirror Mirror'' , og spilte inn sangene i løpet av 1984.",starte,på,write/create,music,agentive,,,,,,,,,,
"Pasienter som fikk semaglutid startet på 0.25 mg ukentlig, etterfulgt av en dobling av dosen hver fjerde uke inntil vedlikeholdsdosering ble nådd ( 0.5 mg eller 1 mg ) .",starte,på,take,medicine,telic,,,,,,,,,,
"Marcus startet på et Bachelor of Commerce-studium på University of the Witwatersrand i Johannesburg, men måtte bli med til London da foreldrene dro i eksil i 1969.",starte,på,do,degree,telic,,,,,,,,,,
"32 000 elever startet på studieforberedende utdanningsprogram i 2006, og 83 prosent av disse fullførte i løpet av fem år.",starte,på,attend,program,telic,,,,,,,,,,
Selskapet startet med 4 hovedoppgaver :,starte,med,do,excercise,telic,,,,,,,,,,
Pasientene startet med 20 mg statin og ble opptitrert til 40 mg etter 6 uker og 80 mg etter 12 uker.,starte,med,take,medicine,telic,,,,,,,,,,
Lennon starter med såkalt « off-beat » ; altså at han følger skarptrommelaget.,starte,med,sing,song/music,agentive,,,,,,,,,,
"Gabrielle starter med « 5 fine frøkner » , av VG kåret til en av årets beste norske låter.",starte,med,sing,song/music,agentive,,,,,,,,,,
Nicoline startet med « Black Widow » ( Iggy Azalea feat.,starte,med,sing,song/music,agentive,,,,,,,,,,
"Koret startet med « Hear my prayer, O lord » av Henry Purcell og avsluttet med « Krist stod op af de døde » av Henrik Ødegård.",starte,med,sing,song/music,agentive,,,,,,,,,,
"Bon Jovi starter med « That's What The Water Made Me » , som er en låt fra det ferske albumet « What About Now » som kom ut for noen uker siden.",starte,med,sing,song/music,agentive,,,,,,,,,,
Robinson og Fredag startet med « raw » menyen :,starte,med,eat,,telic,,,,,,,,,,
Opeth starter med « Devil's Orchard » fra det siste albumet « Heritage » som kom for et par år siden.,starte,med,sing/play,song/music,agentive,,,,,,,,,,
"- Jeff Mangum startet alene med « The King of Carrot Flowers part 2 » , og plutselig ut av det blå sto det 10 mann minst på scenen og tok fullstendig av.",starte,med,sing/play,song/music,agentive,,,,,,,,,,
"En lærer startet på 1/2-årsenheten, men matte av private årsaker avbryte studiet, studiet utgjør en del av bibliotekprosj ektet, og vi antar at vedkommende tioss alt fikk pkt sitt kompetansenivå vesentlig i lopet av tida hun deltok.",starte,på,attend,unita',telic,,,,,,,,,,
"De første pasientene startet på abemaciklib 200 mg x 2 ( preamendment populasjon, før protokollendring ) , men etter en protokollendring startet pasientene på 150 mg x 2 ( post-amendment populasjon, etter protokollendring ) .",starte,på,take,medicine,telic,,,,,,,,,,
